Antibody,Virus,IC50,IC80,ID50
10-1074,1HC2_D0_012216_D1_S67,0.037,0.09,
10-1074,1HC2_D0_012216_F9_S75,0.029,0.09,
10-1074,1HC2_D0_012216_H10_S82,0.032,0.109,
10-1074,1HC3_D0_012016_F7_S31,0.15,0.531,
10-1074,1HC3_D0_012016_G2_S34,0.243,0.836,
10-1074,1HC3_D0_012216_B1_S40,0.148,0.514,
10-1074,1HC3_D0_012216_E10_S49,0.203,0.704,
10-1074,1HC3_D0_012216_G3_S52,0.284,0.946,
10-1074,1HD1_D0_012016_A4_S67,0.019,0.102,
10-1074,1HD1_D0_012016_D6_S73,0.008,0.038,
10-1074,1HD1_D0_012016_H4_S83,0.008,0.029,
10-1074,1HD1_D0_012716_B1_S14,0.014,0.066,
10-1074,1HD1_D0_012716_B7_S16,0.014,0.046,
10-1074,1HD4K_D0_061516_E3_S53,0.006,0.021,
10-1074,1HD4K_D0_061516_F7_S57,0.006,0.025,
10-1074,1HD4K_D0_061616PL1_D4_S83,0.006,0.027,
10-1074,1HD4K_D0_061616PL2_A4_S53,0.005,0.017,
10-1074,1HD4K_D0_061616PL2_C2_S57,0.009,0.027,
10-1074,1HD5K_D0_061016_C5_S3,0.054,0.162,
10-1074,1HD5K_D0_061416PL1_F1_S17,0.054,0.159,
10-1074,1HD5K_D0_061416PL2_D11_S27,0.037,0.13,
10-1074,1HD5K_D0_061416PL2_D12_S28,0.054,0.191,
10-1074,1HD5K_D0_061616_F6_S42,0.046,0.123,
10-1074,1HD6K_D0_061016_B3_S9,0.025,0.097,
10-1074,1HD6K_D0_061416_F12_S50,0.053,0.187,
10-1074,1HD6K_D0_061616_C10_S24,0.032,0.117,
10-1074,1HD6K_D0_061616_C6_S21,0.026,0.096,
10-1074,1HD6K_W8_072616_F2_S69,0.044,0.13,
10-1074,1HD8K_D0_061616_B4_S93,0.001,0.006,
10-1074,1HD8K_D0_062916_A4_S69,0.007,0.024,
10-1074,1HD8K_D0_062916_A9_S72,0.002,0.016,
10-1074,1HD8K_D0_062916_F6_S90,0.057,0.155,
10-1074,1HD8K_D0_062916_H6_S95,0.001,0.007,
10-1074,20104663_E11_D2,0.005,,
10-1074,20104663_E11_D2,0.005,0.013,
10-1074,20198102_E9_G1,0.196,,
10-1074,20198102_E9_G1,0.196,0.845,
10-1074,20258279_V2,0.053,,
10-1074,20258279_V2,0.053,0.185,
10-1074,20358510_01,8.535,,
10-1074,20358510_01,8.535,>20,
10-1074,20721190,0.611,,
10-1074,20721190,0.611,2.052,
10-1074,20803520,0.108,,
10-1074,20803520,0.108,0.467,
10-1074,20883229_C9_H6,0.006,,
10-1074,20883229_C9_H6,0.006,0.025,
10-1074,20915593,0.58,,
10-1074,20915593,0.58,2.807,
10-1074,20927783,4.152,,
10-1074,20927783,4.152,>20,
10-1074,211_9,0.203,,
10-1074,211_9,0.112,,
10-1074,211_9,0.065,0.403,
10-1074,211_9,0.153,0.566,
10-1074,211_9,0.112,0.425,
10-1074,21197826_V1,0.551,,
10-1074,21197826_V1,0.551,1.889,
10-1074,21203310_G7_C3,0.043,,
10-1074,21203310_G7_C3,0.043,0.271,
10-1074,21399975_E2_B3,0.925,,
10-1074,21399975_E2_B3,0.925,17.045,
10-1074,21492713_B11_E3,0.015,,
10-1074,21492713_B11_E3,0.015,0.049,
10-1074,21502011_F12_E2,0.016,,
10-1074,21502011_F12_E2,0.016,0.075,
10-1074,21561324_D3_B5,0.004,,
10-1074,21561324_D3_B5,0.004,0.009,
10-1074,2305_BL_G2_1,0.003,0.009,
10-1074,2305_BL_H1_3,0.001,0.006,
10-1074,231965_C1,10,,
10-1074,231965_C1,10,,
10-1074,231965_C1,10,,
10-1074,231965_C1,10,,
10-1074,231965_C1,10,>50,
10-1074,231965_C1,10,,
10-1074,2319_BL_A3_2,0.023,0.074,
10-1074,2319_BL_B1_2,0.01,0.035,
10-1074,2319_BL_B2_4,0.101,0.281,
10-1074,2319_BL_B3_2,0.152,0.53,
10-1074,2319_BL_C1_4,0.032,0.088,
10-1074,2319_BL_E10_2,0.009,0.035,
10-1074,2319_BL_E12_2,0.001,0.017,
10-1074,2319_BL_E3_1,0.008,0.025,
10-1074,2319_BL_F1_1,0.018,0.037,
10-1074,2319_BL_H1_1,0.026,0.097,
10-1074,2319_BL_H4_4,0.001,0.008,
10-1074,2319_BL_H7_1,0.029,0.16,
10-1074,2319_V7_B1_3,0.084,0.235,
10-1074,2319_V7_C1_4,0.015,0.071,
10-1074,2319_V7_H3_2,0.043,0.167,
10-1074,235080_3G7_REV,0.001,,
10-1074,235080_3G7_REV,0.001,0.004,
10-1074,235_47,0.004,,
10-1074,235_47,0.004,,
10-1074,235_47,0.092,,
10-1074,235_47,0.004,,
10-1074,235_47,0.05,,
10-1074,235_47,0.041,0.126,
10-1074,235_47,0.058,0.224,
10-1074,235_47,0.004,,
10-1074,235_47,0.02,0.102,
10-1074,235_47,0.004,0.058,
10-1074,235_47,0.05,0.163,
10-1074,25710_2_43,0.011,,
10-1074,25710_2_43,0.011,,
10-1074,25710_2_43,0.06,0.16,
10-1074,25710_2_43,0.082,0.186,
10-1074,25710_2_43,0.00599,0.020055,
10-1074,25710_2_43,0.046,,
10-1074,25710_2_43,0.011,,
10-1074,25710_2_43,0.051,0.199,
10-1074,25710_2_43,0.011,0.109,
10-1074,25710_2_43,0.08,0.21,
10-1074,25710_2_43,0.137,,
10-1074,25710_2_43,0.0643,,
10-1074,25711_2_4,0.001,,
10-1074,25711_2_4,0.001,,
10-1074,25711_2_4,0.023,0.055,
10-1074,25711_2_4,0.024,,
10-1074,25711_2_4,0.024,0.096,
10-1074,25925_2_22,0.001,,
10-1074,25925_2_22,0.001,,
10-1074,25925_2_22,0.019,0.052,
10-1074,25925_2_22,0.042,,
10-1074,25925_2_22,0.042,0.156,
10-1074,26191_2_48,0.01,,
10-1074,26191_2_48,0.01,,
10-1074,26191_2_48,0.072,0.186,
10-1074,26191_2_48,0.01,,
10-1074,26191_2_48,0.01,0.07,
10-1074,263_8,0.092,,
10-1074,263_8,0.092,,
10-1074,263_8,0.793,,
10-1074,263_8,0.092,,
10-1074,263_8,0.666,,
10-1074,263_8,0.302,2.18,
10-1074,263_8,0.416,5.714,
10-1074,263_8,0.092,,
10-1074,263_8,0.31,4.21,
10-1074,263_8,0.092,1.76,
10-1074,263_8,0.666,6.527,
10-1074,269_12,0.004,,
10-1074,269_12,0.004,,
10-1074,269_12,0.004,,
10-1074,269_12,0.061,0.138,
10-1074,269_12,0.004,,
10-1074,269_12,0.004,0.051,
