Antibody,Virus,IC50,IC80,ID50
VRC26.25,247_23,0.002,0.007,
VRC26.25,25710_2_43,0.00004,,
VRC26.25,25710_2_43,0.00004,0.00400,
VRC26.25,25710_2_43,0.002,0.006,
VRC26.25,25710_2_43,0.00031,,
VRC26.25,25710_2_43,0.003,,
VRC26.25,25710_2_43,0.0044,,
VRC26.25,25711_2_4,0.802,,
VRC26.25,25925_2_22,0.00004,,
VRC26.25,25925_2_22,0.00004,0.00090,
VRC26.25,25925_2_22,0.002,0.006,
VRC26.25,26191_2_48,0.0001,,
VRC26.25,26191_2_48,0.00010,0.00300,
VRC26.25,26191_2_48,0.002,0.007,
VRC26.25,263_8,0.011,,
VRC26.25,263_8,0.01133,0.27000,
VRC26.25,263_8,0.014,0.193,
VRC26.25,269_12,0.001,,
VRC26.25,269_12,0.00500,0.18200,
VRC26.25,269_12,0.19,>50,
VRC26.25,2759058_F10_B6,0.0003,,
VRC26.25,2768732_C5_16,0.02,,
VRC26.25,2768732_C5_16,0.02,>25,
VRC26.25,2833264,0.0003,,
VRC26.25,286_36,0.0003,,
VRC26.25,286_36,0.00030,0.00400,
VRC26.25,286_36,0.008,0.018,
VRC26.25,2865_A11_12,0.123,,
VRC26.25,2865_A11_12,0.123,>25,
VRC26.25,2869751_A4_D3,0.0003,,
VRC26.25,3016_V5_C45,0.0002,,
VRC26.25,3016_V5_C45,0.00020,0.00500,
VRC26.25,3016_V5_C45,0.002,0.008,
VRC26.25,3016_V5_C45,0.0002,0.005,
VRC26.25,304_F2_1_11,0.0003,,
VRC26.25,3168_V4_C10,1.538,,
VRC26.25,3168_V4_C10,0.109,,
VRC26.25,3168_V4_C10,0.10900,>50,
VRC26.25,3168_V4_C10,1.538,>25,
VRC26.25,318_AT_SGA1,10.470,,
VRC26.25,318_BT_SGA1,0.001,,
VRC26.25,318_BT_SGA4,0.001,,
VRC26.25,318_BT_SGA5,0.001,,
VRC26.25,318_TF_SGA2,0.001,,
VRC26.25,329_14_B1,1.96,,
VRC26.25,329_14_B1,1.01,,
VRC26.25,329_14_B4,2.06,,
VRC26.25,329_15_A1,6.23,,
VRC26.25,329_15_B1,5.98,,
VRC26.25,329_16_C1,8.42,,
VRC26.25,329_16_D5,7.24,,
VRC26.25,330_14_A12,0.98,,
VRC26.25,330_14_A20,1.12,,
VRC26.25,330_15_C36,6.66,,
VRC26.25,330_15_D36,5.69,,
VRC26.25,330_15_E36,4.49,,
VRC26.25,330_16_H2,6.78,,
VRC26.25,3301_V1_C24,0.002,,
VRC26.25,3301_V1_C24,0.00200,0.02000,
VRC26.25,3301_V1_C24,0.004,0.013,
VRC26.25,3312_D6_2,0.0003,,
VRC26.25,3326_V4_C3,0.00004,,
VRC26.25,3326_V4_C3,0.00004,0.00030,
VRC26.25,3326_V4_C3,0.001,0.004,
VRC26.25,3337_V2_C6,0.00002,,
VRC26.25,3337_V2_C6,0.00020,0.00100,
VRC26.25,3337_V2_C6,0.0005,0.001,
VRC26.25,3365_V2_C20,0.014,,
VRC26.25,3365_V2_C20,0.00900,>50,
VRC26.25,3415_V1_C1,11.5,,
VRC26.25,3415_V1_C1,0.35100,>50,
VRC26.25,3426_V5_C17,0.02,,
VRC26.25,3426_V5_C17,0.02,2.814,
VRC26.25,346_F4_D2_12,0.052,,
VRC26.25,346_F4_D2_12,0.052,20.774,
VRC26.25,3514597,0.0003,,
VRC26.25,3545883_G1_E1,0.004,,
VRC26.25,3545883_G1_E1,0.004,0.253,
VRC26.25,3_5_J38,0.53,,
VRC26.25,3718_3_11,0.016,,
VRC26.25,3718_3_11,0.01600,>50,
VRC26.25,3718_3_11,0.044,>50,
VRC26.25,3718_3_11,0.033,>25,
VRC26.25,3728_V2_C6,0.0003,,
VRC26.25,377_V4_C09,0.002,,
VRC26.25,377_V4_C09,0.002,0.361,
VRC26.25,3817_V2_C59,17.5,,
VRC26.25,3873_V1_C24,0.0004,,
VRC26.25,3873_V1_C24,0.004,,
VRC26.25,3873_V1_C24,0.00400,0.02000,
VRC26.25,3873_V1_C24,0.004,0.013,
VRC26.25,3873_V1_C24,0.0004,0.003,
VRC26.25,3988_25,0.074,,
VRC26.25,3988_25,0.00100,0.11000,
VRC26.25,3988_25,0.048,>50,
VRC26.25,4_2_J47B,0.89,,
VRC26.25,45_01DG5,0.002,,
VRC26.25,45_01DG5,0.00400,0.27200,
VRC26.25,45_01DG5,0.136,5.33,
VRC26.25,451_TF_SGA2,0.001,,
VRC26.25,541_F1_A7_2,0.0003,,
VRC26.25,57128_VRC15,0.153,,
VRC26.25,57128_VRC15,0.00400,2.00000,
VRC26.25,57128_VRC15,0.129,>50,
VRC26.25,57128_VRC15,0.265,19.79,
VRC26.25,5_J41,0.05,,
VRC26.25,6022_V7_C24,0.0003,,
VRC26.25,6040_V4_C15,0.0003,,
VRC26.25,6095_V1_C10,0.0003,,
VRC26.25,6095_V1_C10,0.00030,0.00500,
VRC26.25,6095_V1_C10,0.003,0.011,
VRC26.25,6146_V7_C23,0.0003,,
VRC26.25,620345_C1,0.005,,
VRC26.25,620345_C1,0.00500,0.05100,
VRC26.25,620345_C1,0.013,0.056,
VRC26.25,6322_V4_C1,0.0003,,
VRC26.25,6322_V4_C1,0.0008,,
VRC26.25,6322_V4_C1,0.00080,0.01200,
VRC26.25,6322_V4_C1,0.004,0.013,
VRC26.25,651_AT_SGA2,0.001,,
VRC26.25,651_AT_SGA5,0.001,,
VRC26.25,651_AT_SGA8,0.001,,
VRC26.25,651_LN_C40,0.001,,
VRC26.25,651_LN_C43,0.001,,
VRC26.25,6540_V4_C1,0.006,,
VRC26.25,6540_V4_C1,0.00300,0.05100,
VRC26.25,6540_V4_C1,0.009,0.13,
VRC26.25,6545_V4_C1,0.015,,
VRC26.25,6545_V4_C1,0.00480,0.09600,
VRC26.25,6545_V4_C1,0.009,0.052,
VRC26.25,6785_V5_C14,0.0003,,
VRC26.25,6785_V5_C14,0.0003,,
VRC26.25,6785_V5_C14,0.00030,0.00600,
VRC26.25,6785_V5_C14,0.003,0.011,
VRC26.25,6838_V1_C35,0.0003,,
VRC26.25,6838_V1_C35,0.0007,,
VRC26.25,6838_V1_C35,0.00070,0.04200,
VRC26.25,6838_V1_C35,0.003,0.021,
VRC26.25,6980_V0_C31,0.0003,,
VRC26.25,703010010_C4,0.0003,,
VRC26.25,703010054_2A2,0.033,,
VRC26.25,703010054_2A2,0.033,>25,
VRC26.25,703010131_1E2,0.005,,
VRC26.25,703010131_1E2,0.005,6.488,
VRC26.25,703010217_B6,0.0003,,
VRC26.25,703010217_B6,0.002,,
VRC26.25,703010217_B6,13.7,>20,
VRC26.25,703010217_B6,0.00200,5.00000,
VRC26.25,703010217_B6,0.01,0.691,
VRC26.25,703010217_B6,0.00286,,
VRC26.25,703010217_B6,0.002,,
VRC26.25,703010217_B6,0.0039,,
VRC26.25,703010228_1C4,0.0003,,
VRC26.25,704010042_2E5,0.0003,,
VRC26.25,704010069_C6,0.0003,,
VRC26.25,704010083_B8,0.016,,
VRC26.25,704010083_B8,0.016,>25,
VRC26.25,704809221_1B3,0.541,,
VRC26.25,704809221_1B3,0.541,>25,
VRC26.25,704810053_2B7,0.0003,,
VRC26.25,705010067_TF,0.0003,,
VRC26.25,705010185_TF,0.211,,
VRC26.25,705010185_TF,0.211,>25,
VRC26.25,706010164_1A7,0.0003,,
VRC26.25,851891_4_15,0.888,>25,
VRC26.25,89_6,49.9,>50,
VRC26.25,9009SA_A4_2,0.136,2.061,
VRC26.25,928_28,0.002,,
VRC26.25,928_28,0.00200,0.04100,
VRC26.25,928_28,0.006,0.042,
VRC26.25,928_28,0.005,,
VRC26.25,928_28_L669S,0.006,,
VRC26.25,928_28_Y681H,0.004,,
VRC26.25,92BR025_9,1.17,,
VRC26.25,92BR025_9,1.47,>50,
VRC26.25,96ZM651_02,0.494,,
VRC26.25,96ZM651_02,0.372,16.83,
VRC26.25,96ZM651_02,0.49400,>50,
VRC26.25,96ZM651_02,0.839,>50,
VRC26.25,96ZM651_02,1.02709,,
VRC26.25,A03349M1_VRC4A,0.053,,
VRC26.25,A03349M1_VRC4A,0.00400,0.12000,
VRC26.25,A03349M1_VRC4A,0.021,0.192,
VRC26.25,A03349M1_VRC4A,0.017,0.35,
VRC26.25,A07412M1_VRC12,0.002,,
VRC26.25,A07412M1_VRC12,0.00200,0.03400,
VRC26.25,A07412M1_VRC12,0.007,0.025,
VRC26.25,A07412M1_VRC12,0.002,0.034,
VRC26.25,AC10_29,0.134,,
VRC26.25,AC10_29,0.00200,1.00000,
VRC26.25,AC10_29,0.111,18,
VRC26.25,AC10_29,0.11573,,
VRC26.25,AC10_29,0.25,,
VRC26.25,AC10_29,0.017,,
VRC26.25,AIIMS704_70401,0.75,,
VRC26.25,AIIMS704_70402,0.84,,
VRC26.25,AIIMS704_70403,0.89,,
VRC26.25,AIIMS704_70405,0.089,,
VRC26.25,AIIMS704_70406,0.078,,
VRC26.25,AIIMS704_70408,0.076,,
VRC26.25,AIIMS704_70414,0.56,,
VRC26.25,AIIMS704_70421,0.089,,
VRC26.25,AIIMS706_70604B,0.067,,
VRC26.25,AIIMS706_70606A,0.17,,
VRC26.25,AIIMS706_70606B,0.33,,
VRC26.25,AIIMS706_70606F,0.33,,
VRC26.25,AIIMS706_70606Z,0.98,,
VRC26.25,AIIMS706_70607A,0.067,,
VRC26.25,AIIMS706_70607B,0.087,,
VRC26.25,AIIMS706_70607C,0.63,,
VRC26.25,AIIMS706_70607F,0.45,,
VRC26.25,AIIMS709_70912B,0.78,,
VRC26.25,AIIMS709_70915B,3.12,,
VRC26.25,AIIMS709_709312B,4.81,,
VRC26.25,AIIMS709_709316B,2.67,,
VRC26.25,AIIMS709_70931B,0.89,,
VRC26.25,AIIMS709_70936B,0.64,,
VRC26.25,AIIMS709_70942B,3.78,,
VRC26.25,AIIMS731_73105B,0.051,,
VRC26.25,AIIMS731_73105C,0.036,,
VRC26.25,AIIMS731_73105D,0.042,,
VRC26.25,AIIMS731_73105E,0.041,,
VRC26.25,AIIMS743_74311A,0.14,,
VRC26.25,AIIMS743_74311B,0.15,,
VRC26.25,AIIMS743_74311C,0.45,,
VRC26.25,AIIMS743_74311G,0.27,,
VRC26.25,AIIMS743_74311K,0.33,,
VRC26.25,AIIMS743_74311N,0.56,,
VRC26.25,B005018_8_F6_3,0.0003,,
VRC26.25,B41_9032_08_A1,4.95,,
VRC26.25,BB201_B42,0.00003,,
VRC26.25,BB201_B42,0.00003,0.00100,
VRC26.25,BB201_B42,0.001,0.004,
VRC26.25,BB539_2B13,0.004,,
VRC26.25,BB539_2B13,0.005,0.035,
VRC26.25,BF1266_431A,0.0003,,
VRC26.25,BG505_W6M_C2,0.0004,,
VRC26.25,BG505_W6M_C2,0.001,0.003,
VRC26.25,BG505_W6M_C2,0.00040,0.01200,
VRC26.25,BG505_W6M_C2,0.002,0.012,
VRC26.25,BG505_W6M_C2,0.001476667,,
VRC26.25,BG505_W6M_C2,0.0032,,
VRC26.25,BG505_W6M_C2_T332N,0.0004,,
VRC26.25,BG505_W6M_C2_T332N,0.0013,,
VRC26.25,BI369_9A,0.00004,,
VRC26.25,BI369_9A,0.00050,0.00400,
VRC26.25,BI369_9A,0.002,0.006,
VRC26.25,BJOX002000_03_2,0.0001,,
VRC26.25,BJOX002000_03_2,0.001,0.004,
VRC26.25,BJOX002000_03_2,0.002,0.007,
VRC26.25,BJOX002000_03_2,0.00192,,
VRC26.25,BJOX002000_03_2,0.006,,
VRC26.25,BJOX002000_03_2,0.004,,
VRC26.25,BJOX009000_02_4,5.96,,
VRC26.25,BJOX009000_02_4,18.8,>50,
VRC26.25,BS208_B1,0.00004,,
VRC26.25,BS208_B1,0.00004,0.00040,
VRC26.25,BS208_B1,0.001,0.004,
VRC26.25,BX08_16,0.0006,,
VRC26.25,BX08_16,0.00060,>50,
VRC26.25,BX08_16,0.005,0.527,
VRC26.25,C1080_C3,0.006,,
VRC26.25,C1080_C3,0.00600,0.71800,
VRC26.25,C1080_C3,0.003,0.812,
VRC26.25,C1080_C3,0.16,,
VRC26.25,C4118_9,0.00004,,
VRC26.25,C4118_9,0.00004,0.00100,
VRC26.25,C4118_9,0.002,0.005,
VRC26.25,CA146_H3_3,0.053,,
VRC26.25,CA146_H3_3,0.020796667,,
VRC26.25,CA146_H3_3,0.053,>25,
VRC26.25,CA392_H2_6,0.112,,
VRC26.25,CA392_H2_6,0.112,>25,
VRC26.25,CAP08_F6,0.135483333,,
VRC26.25,CAP08_F6,0.20,,
VRC26.25,CAP129_1_15_B2_13,0.0003,,
VRC26.25,CAP177_1A3,0.0003,,
VRC26.25,CAP200_B8A,0.002,,
VRC26.25,CAP200_B8A,0.002,0.311,
VRC26.25,CAP206_08,0.00324,,
VRC26.25,CAP206_08,0.002,,
VRC26.25,CAP206_1_B5_Y681D,0.0004,,
VRC26.25,CAP206_1_B5_Y681D,0.0004,0.142,
VRC26.25,CAP210_E8,0.0002,,
VRC26.25,CAP210_E8,0.00020,0.00400,
VRC26.25,CAP210_E8,0.002,0.007,
VRC26.25,CAP210_E8,0.0035,,
VRC26.25,CAP210_E8,0.00192,,
VRC26.25,CAP210_E8,0.00001,,
VRC26.25,CAP210_E8,0.0018,,
VRC26.25,CAP210_TA5,0.0003,,
VRC26.25,CAP221_B14,0.328,,
VRC26.25,CAP221_B14,0.328,>25,
VRC26.25,CAP224_1_18_C7_3,0.0003,,
VRC26.25,CAP228_2_00_51J,0.02844,,
VRC26.25,CAP228_2_00_51J,0.0055,,
VRC26.25,CAP237_1_22_B2_2_39,0.0003,,
VRC26.25,CAP239_2_00_G3J,0.018565,,
VRC26.25,CAP239_2_00_G3J,0.0029,,
VRC26.25,CAP244_D3,192.53887,,
VRC26.25,CAP256_PI,1.211783333,,
VRC26.25,CAP256_PI,0.09,,
VRC26.25,CAP256_SU,0.0002,,
VRC26.25,CAP256_SU,0.00020,0.00200,
VRC26.25,CAP256_SU,0.002,0.007,
VRC26.25,CAP256_SU,0.001426667,,
VRC26.25,CAP256_SU,0.00001,,
VRC26.25,CAP256_SU,0.0013,,
VRC26.25,CAP256_SU_K169I,0.006,,
VRC26.25,CAP256_SU_K169Q,0.009,,
VRC26.25,CAP256_SU_K169R,0.002,,
VRC26.25,CAP256_SU_K169T,0.02,,
VRC26.25,CAP256_SU_R166K,0.007,,
VRC26.25,CAP258_2_00_X_23,0.084,,
VRC26.25,CAP258_2_00_X_23,0.084,>25,
VRC26.25,CAP260_2_00_TA1_1B,0.0003,,
VRC26.25,CAP266_2_00_E9_H6,0.001,,
VRC26.25,CAP266_2_00_E9_H6,0.001,0.146,
VRC26.25,CAP290_2_00_23_6,0.007,,
VRC26.25,CAP290_2_00_23_6,0.007,0.195,
VRC26.25,CAP301_2_00_C3_20,0.0003,,
VRC26.25,CAP304_2_00_F6_6,0.0003,,
VRC26.25,CAP306_2_00_F9_1,0.0003,,
VRC26.25,CAP307_2_00_24_1,0.0003,,
VRC26.25,CAP308_2_00_E11_35,0.0003,,
VRC26.25,CAP310_2_00_20_2,0.02,,
VRC26.25,CAP310_2_00_20_2,0.02,0.604,
VRC26.25,CAP317_2_00_D4_10,0.0003,,
VRC26.25,CAP323_2_00_B6_45,0.0003,,
VRC26.25,CAP330_2_00_F2_41,0.0003,,
VRC26.25,CAP331_2_00_D7_39,0.002,,
VRC26.25,CAP331_2_00_D7_39,0.002,0.096,
VRC26.25,CAP332_2_00_C10_1,0.062,,
VRC26.25,CAP332_2_00_C10_1,0.062,0.376,
VRC26.25,CAP340_2_00_B3_16,0.003,,
VRC26.25,CAP340_2_00_B3_16,0.003,0.139,
VRC26.25,CAP341_2_00_C10_18,0.0003,,
VRC26.25,CAP347_2_00_B1_1,0.0003,,
VRC26.25,CAP363_2_00_10_3,1.228,,
VRC26.25,CAP363_2_00_10_3,1.228,>25,
VRC26.25,CAP37_1_18_D2_19,0.0003,,
VRC26.25,CAP378_2_00_D2_5,0.001,,
VRC26.25,CAP378_2_00_D2_5,0.001,0.028,
VRC26.25,CAP382_2_00_D7_19,0.0003,,
VRC26.25,CAP45_G3,0.0003,,
VRC26.25,CAP45_G3,0.00004,,
VRC26.25,CAP45_G3,0.00004,0.00100,
VRC26.25,CAP45_G3,0.001,0.005,
VRC26.25,CAP45_G3,0.00071,,
VRC26.25,CAP45_G3,0.000855,,
VRC26.25,CAP45_G3,0.00002,,
VRC26.25,CAP45_G3,0.0006,,
VRC26.25,CAP61_F10A,0.10461,,
VRC26.25,CAP61_F10A,0.04,,
VRC26.25,CAP63_A9,0.00618,,
VRC26.25,CAP63_A9,0.009,,
VRC26.25,CAP69_1_12_TA7_1,0.0003,,
VRC26.25,CAP84_32,0.210833333,,
VRC26.25,CAP84_32,0.40,,
VRC26.25,CAP85_09,120.58614,,
VRC26.25,CE0393_C3,0.004,,
VRC26.25,CE0393_C3,0.004,0.112,
VRC26.25,CE0626_E6,0.0003,,
VRC26.25,CE0682_E4,0.0003,,
VRC26.25,CE0985_H7,0.119,,
VRC26.25,CE0985_H7,0.119,>25,
VRC26.25,CE1086_B2,0.0004,,
VRC26.25,CE1086_B2,0.0004,0.168,
VRC26.25,CE1172_H1,3.188,,
VRC26.25,CE1172_H1,3.188,>25,
VRC26.25,CE1176_A3,0.041,,
VRC26.25,CE1176_A3,0.464,,
VRC26.25,CE1176_A3,0.004,7.64,
VRC26.25,CE1176_A3,0.02000,>50,
VRC26.25,CE1176_A3,0.065,>50,
VRC26.25,CE1176_A3,0.0021,,
VRC26.25,CE1176_A3,0.009,,
VRC26.25,CE1176_A3,0.019173333,,
VRC26.25,CE1176_A3,0.041,>25,
VRC26.25,CE1176_A3,0.0021,,
VRC26.25,CE2052_G10,0.0003,,
VRC26.25,CE2060_G9,0.0003,,
VRC26.25,CE2103_E8,0.0003,,
VRC26.25,CH038_12,0.001,,
VRC26.25,CH038_12,0.00100,0.01500,
VRC26.25,CH038_12,0.003,0.012,
VRC26.25,CH0694,0.003,,
VRC26.25,CH0694,0.003,0.044,
VRC26.25,CH070_1,0.005,,
VRC26.25,CH070_1,0.02600,>50,
VRC26.25,CH070_1,0.004,0.096,
VRC26.25,CH117_4,0.00001,,
VRC26.25,CH117_4,0.00001,0.00004,
VRC26.25,CH117_4,0.0004,0.0009,
VRC26.25,CH119_10,0.016,,
VRC26.25,CH119_10,0.013,0.069,
VRC26.25,CH119_10,0.019,0.106,
VRC26.25,CH119_10,0.00954,,
VRC26.25,CH119_10,0.013,,
VRC26.25,CH119_10,0.017,,
VRC26.25,CH181_12,0.00002,,
VRC26.25,CH181_12,0.00002,0.00004,
VRC26.25,CH181_12,0.0005,0.001,
VRC26.25,CM244_EC1,0.033,,
VRC26.25,CM244_EC1,0.06075,2.74900,
VRC26.25,CM244_EC1,0.043,1.35,
VRC26.25,CNE15,5.02,,
VRC26.25,CNE15,0.30100,>50,
VRC26.25,CNE15,1.27,>50,
VRC26.25,CNE19,0.00004,,
VRC26.25,CNE19,0.00004,0.00800,
VRC26.25,CNE19,0.001,0.004,
VRC26.25,CNE20,0.0005,,
VRC26.25,CNE20,0.00050,0.10900,
VRC26.25,CNE20,0.005,0.057,
VRC26.25,CNE21,0.0001,,
VRC26.25,CNE21,0.00010,0.00200,
VRC26.25,CNE21,0.001,0.006,
VRC26.25,CNE40,0.072,,
VRC26.25,CNE40,0.01600,0.44900,
VRC26.25,CNE40,0.02,0.316,
VRC26.25,CNE40,0.6,,
VRC26.25,CNE5,0.0003,,
VRC26.25,CNE5,0.00030,0.02400,
VRC26.25,CNE5,0.002,0.013,
VRC26.25,CNE55,0.0002,,
VRC26.25,CNE55,0.001,0.003,
VRC26.25,CNE55,0.00020,0.00600,
VRC26.25,CNE55,0.002,0.011,
VRC26.25,CNE55,0.0008,,
VRC26.25,CNE55,0.002,,
VRC26.25,CNE55,0.003,,
VRC26.25,CNE58,0.00004,,
VRC26.25,CNE58,0.00004,0.00300,
VRC26.25,CNE58,0.001,0.004,
VRC26.25,CNE7,0.003,,
VRC26.25,CNE7,0.00300,0.02400,
VRC26.25,CNE7,0.005,0.015,
VRC26.25,CNE8,0.012,,
VRC26.25,CNE8,0.007,1.416,
VRC26.25,CNE8,0.00100,1.00000,
VRC26.25,CNE8,0.019,4.66,
VRC26.25,CNE8,0.0063,,
VRC26.25,CNE8,0.0122,,
VRC26.25,CON_C,0.00096,,
VRC26.25,CON_C,0.0015,,
VRC26.25,CT072_56_7,0.002,,
VRC26.25,CT072_56_7,0.002,24.704,
VRC26.25,CT140_140_B6,0.012,,
VRC26.25,CT140_140_B6,0.012,0.089,
VRC26.25,CT184_D3_15,0.002,,
VRC26.25,CT184_D3_15,0.002,0.386,
VRC26.25,CT349_39_16,0.0003,,
VRC26.25,CT565_C7_48,0.0003,,
VRC26.25,CT810_G4_7,0.066,,
VRC26.25,CT810_G4_7,0.066,>25,
VRC26.25,CT966_E1_7,0.0003,,
VRC26.25,CT977_69_12,0.0003,,
VRC26.25,DJ263_8,0.001,,
VRC26.25,DJ263_8,0.00100,0.01400,
VRC26.25,DJ263_8,0.006,0.015,
VRC26.25,DU123_06,0.026,,
VRC26.25,DU123_06,0.00800,10.00000,
VRC26.25,DU123_06,0.018,0.333,
VRC26.25,DU151_02,0.0003,,
VRC26.25,DU151_02,0.0003,,
VRC26.25,DU151_02,0.00030,0.00800,
VRC26.25,DU151_02,0.002,0.01,
VRC26.25,DU151_02,0.005455,,
VRC26.25,DU151_02,0.002,,
VRC26.25,DU156_12,0.0003,,
VRC26.25,DU156_12,0.002,,
VRC26.25,DU156_12,0.00200,0.05100,
VRC26.25,DU156_12,0.004,0.038,
VRC26.25,DU156_12,0.00617,,
VRC26.25,DU156_12,0.0121,,
VRC26.25,DU156_12,0.001,,
VRC26.25,DU156_12,0.004,,
VRC26.25,DU172_17,131.64312,,
VRC26.25,DU422_1,0.001,,
VRC26.25,DU422_1,0.01,,
VRC26.25,DU422_1,0.05300,0.10925,
VRC26.25,DU422_1,0.018,0.3,
VRC26.25,DU422_1,0.08207,,
VRC26.25,DU422_1,0.028435,,
VRC26.25,DU422_1,0.0007,,
VRC26.25,DU422_1,0.0092,,
VRC26.25,DU422_1,0.001,0.055,
VRC26.25,KER2008_12,0.005,,
VRC26.25,KER2008_12,0.00800,0.18300,
VRC26.25,KER2008_12,0.014,>50,
VRC26.25,KER2018_11,0.00008,,
VRC26.25,KER2018_11,0.00008,0.00200,
VRC26.25,KER2018_11,0.001,0.005,
VRC26.25,KNH1209_18,0.197,,
VRC26.25,KNH1209_18,0.00500,8.85000,
VRC26.25,KNH1209_18,0.91,>50,
VRC26.25,KO224_T87_2_4,0.023,,
VRC26.25,KO224_T87_2_4,0.023,11.593,
VRC26.25,KO243_H6_3,0.0003,,
VRC26.25,KO459_T68_4,0.0003,,
VRC26.25,KO756_38_TB12,0.0003,,
VRC26.25,KO870_C2_10,0.0003,,
VRC26.25,M02138,24.7,>50,
VRC26.25,MB539_2B7,0.335,,
VRC26.25,MB539_2B7,0.20167,4.00000,
VRC26.25,MB539_2B7,0.747,>50,
VRC26.25,ME067_A10_15,0.0003,,
VRC26.25,ME178_G6_16,0.643,,
VRC26.25,ME178_G6_16,0.643,>25,
VRC26.25,MI369_A5,0.007,,
VRC26.25,MI369_A5,0.00100,0.01900,
VRC26.25,MI369_A5,0.005,0.026,
VRC26.25,MS208_A1,0.002,,
VRC26.25,MS208_A1,0.00200,0.23200,
VRC26.25,MS208_A1,0.003,0.029,
VRC26.25,MS208_A1,0.002,0.232,
VRC26.25,MW965_26,0.058,,
VRC26.25,MW965_26,0.01900,0.57200,
VRC26.25,MW965_26,0.063,0.919,
VRC26.25,NISA_N110_J16,0.4,,
VRC26.25,P0402_C2_11,0.001,,
VRC26.25,P0402_C2_11,0.00100,0.00900,
VRC26.25,P0402_C2_11,0.002,0.008,
VRC26.25,P1981_C5_3,0.002,,
VRC26.25,P1981_C5_3,0.00200,0.02200,
VRC26.25,P1981_C5_3,0.003,0.012,
VRC26.25,PG37066_J1,0.01,,
VRC26.25,PG37072_J16,0.02,,
VRC26.25,PG37080_J158,2.46,,
VRC26.25,PG37089_J17,0.02,,
VRC26.25,PG37112V2_J9,0.02,,
VRC26.25,PVO_4,0.006,,
VRC26.25,PVO_4,0.033,0.121,
VRC26.25,PVO_4,0.01600,0.28900,
VRC26.25,PVO_4,0.065,0.598,
VRC26.25,PVO_4,0.08176,,
VRC26.25,PVO_4,0.052405,,
VRC26.25,PVO_4,0.08,,
VRC26.25,PVO_4,0.037,,
VRC26.25,Q168_A2,0.0009,,
VRC26.25,Q168_A2,0.00090,>25,
VRC26.25,Q168_A2,0.003,0.095,
VRC26.25,Q168_A2,0.00352,,
VRC26.25,Q168_A2,0.00074,,
VRC26.25,Q23_17,0.001,,
VRC26.25,Q23_17,0.00150,1.29620,
VRC26.25,Q23_17,0.002,0.05,
VRC26.25,Q23_17,0.00283,,
VRC26.25,Q23_17,0.0017,,
VRC26.25,Q23_17,0.0015,1.2962,
VRC26.25,Q259_17,0.008,,
VRC26.25,Q259_17,0.00003,0.00030,
VRC26.25,Q259_17,0.005,0.071,
VRC26.25,Q259_17,0.00722,,
VRC26.25,Q259_17,0.002,,
VRC26.25,Q259_17,0.0046,,
VRC26.25,Q259_17,0.00003,0.0003,
VRC26.25,Q461_E2,0.024,,
VRC26.25,Q461_E2,0.00100,0.08000,
VRC26.25,Q461_E2,0.046,1.02,
VRC26.25,Q461_E2,0.033694286,,
VRC26.25,Q461_E2,0.01,,
VRC26.25,Q461_E2,0.024,,
VRC26.25,Q461_E2,0.001,0.08,
VRC26.25,Q842_D12,0.014,,
VRC26.25,Q842_D12,0.00100,0.12300,
VRC26.25,Q842_D12,0.008,0.436,
VRC26.25,Q842_D12,0.03938,,
VRC26.25,Q842_D12,0.01,,
VRC26.25,Q842_D12,0.21,,
VRC26.25,Q842_D12,0.019,,
VRC26.25,Q842_D12,0.001,0.123,
VRC26.25,R2184_C4,0.02,,
VRC26.25,R2184_C4,0.00200,5.00000,
VRC26.25,R2184_C4,0.022,>50,
VRC26.25,S018_18,0.00003,,
VRC26.25,S018_18,0.00080,0.00400,
VRC26.25,S018_18,0.001,0.004,
VRC26.25,S10906_109WK_C19,0.01,,
VRC26.25,S31522_147WK_C20,0.5,,
VRC26.25,S50725_295WK_C60,0.01,,
VRC26.25,S51928_278WK_C26,21.22,,
VRC26.25,SF162,32.5,,
VRC26.25,SIV_CPZ_CAM13,0.002,,
VRC26.25,SIV_CPZ_DP943_2,0.001,,
VRC26.25,SIV_CPZ_EK505,0.002,,
VRC26.25,SIV_CPZ_LB7,0.08,,
VRC26.25,SIV_CPZ_MB66,0.07,,
VRC26.25,SIV_CPZ_MB897,0.001,,
VRC26.25,SIV_CPZ_MT145,0.0003,,
VRC26.25,SIV_CPZ_UG38,1,,
VRC26.25,SIV_MUS1_1085_1_54,0.26,,
VRC26.25,SIV_MUS1_1085_4_12,0.03,,
VRC26.25,SIV_MUS3_11GAB,0.54,,
VRC26.25,SO032_A2_8_1,0.0003,,
VRC26.25,SO186_H6_5,0.0003,,
VRC26.25,SO706_T10B_3,0.108,,
VRC26.25,SO706_T10B_3,0.108,>25,
VRC26.25,T250_4,0.001,,
VRC26.25,T250_4,0.00002,,
VRC26.25,T250_4,0.00050,0.00200,
VRC26.25,T250_4,0.0008,0.002,
VRC26.25,T250_4,0.0009,,
VRC26.25,T253_11,0.006,,
VRC26.25,T253_11,0.00800,32.50000,
VRC26.25,T253_11,0.022,>50,
VRC26.25,T253_11,0.18,,
VRC26.25,T253_11,0.2,,
VRC26.25,T253_11_L669S,0.01,,
VRC26.25,T253_11_Y681H,0.03,,
VRC26.25,T257_31,0.0002,,
